# File: Ref_veg_carbon_Mg_per_ha.csv
# Title: Reference veg and soil C density for HYDE land cells
# Units: Mg/ha
# Author: moirai
# Description: ref veg soil and veg carbon density (Mg/ha) for hyde land cells in country X glu X land type
# Original source: soil c for sage pot veg; veg c for sage pot veg; reference veg; country raster; new glu raster; hyde land area
# Source: https://github.com/JGCRI/moirai
# Column types: ciicnnnnnn
# ----------
iso,glu_code,land_type,c_type,weighted_average,median_value,min_value,max_value,q1_value,q3_value
afg,58,1201,soil_c (0-30 cms),91,70,10,260,40,120
afg,58,1201,veg_c (above ground biomass),1,1,0,8,1,1
afg,58,1201,veg_c (below ground biomass),2,2,0,21,2,3
afg,58,1202,soil_c (0-30 cms),54,70,10,260,40,120
afg,58,1202,veg_c (above ground biomass),1,1,0,9,1,1
afg,58,1202,veg_c (below ground biomass),2,1,0,20,1,3
afg,58,1203,soil_c (0-30 cms),87,70,10,260,40,120
afg,58,1203,veg_c (above ground biomass),1,1,0,8,1,1
afg,58,1203,veg_c (below ground biomass),2,1,0,20,1,3
afg,58,1205,soil_c (0-30 cms),80,70,10,260,40,120
afg,58,1205,veg_c (below ground biomass),2,2,0,22,2,3
afg,58,1206,soil_c (0-30 cms),115,70,10,260,40,120
afg,58,1206,veg_c (below ground biomass),2,2,0,23,2,3
afg,58,1207,soil_c (0-30 cms),82,70,10,260,40,120
afg,58,1207,veg_c (below ground biomass),2,2,0,22,2,3
afg,58,1301,soil_c (0-30 cms),81,110,10,290,20,170
afg,58,1301,veg_c (above ground biomass),1,0,0,12,0,1
afg,58,1301,veg_c (below ground biomass),1,0,0,19,1,2
afg,58,1302,soil_c (0-30 cms),136,110,10,290,20,170
afg,58,1302,veg_c (above ground biomass),1,0,0,13,0,1
afg,58,1302,veg_c (below ground biomass),1,0,0,18,1,2
afg,58,1303,soil_c (0-30 cms),25,110,10,290,20,170
afg,58,1305,soil_c (0-30 cms),123,110,10,290,20,170
afg,58,1305,veg_c (above ground biomass),1,0,0,25,1,2
afg,58,1306,soil_c (0-30 cms),24,110,10,290,20,170
afg,58,1307,soil_c (0-30 cms),110,110,10,290,20,170
afg,58,1401,soil_c (0-30 cms),61,30,10,320,20,160
afg,58,1401,veg_c (below ground biomass),1,0,0,7,0,1
afg,58,1402,soil_c (0-30 cms),34,30,10,320,20,160
